movie,Academy Awards adapted screenplay,Academy Awards original screenplay,BAFTA nominations,Golden Globe Award for Best Screenplay,Writers Guild Awards Winners & Nominees 2020-2013
The Hurt Locker_0887912,-,+,+,+,-
The Ladykillers_0048281,-,+,+,-,-
The Messenger_0790712,-,+,-,-,-
The Royal Tenenbaums_0265666,-,+,+,-,-
The Shape of Water_5580390,-,+,+,+,+
The Sting_0070735,-,+,-,+,-
The Truman Show_0120382,-,+,+,+,-
The Usual Suspects_0114814,-,+,+,-,-
Tootsie_0084805,-,+,+,+,-
Toy Story_0114709,-,+,-,-,-
Three Billboards Outside Ebbing Missouri_5027774,-,+,+,+,-
A Separation_1832382,-,+,-,-,-
Beverly Hills Cop_0086960,-,+,-,-,-
Blue Jasmine_2334873,-,+,+,-,+
Coming Home_0077362,-,+,-,+,-
Four Weddings and a Funeral_0109831,-,+,+,+,-
Hell or High Water_2582782,-,+,+,+,+
Match Point_0416320,-,+,-,+,-
Notorious_0472198,-,+,-,-,-
The Aviator_0338751,-,+,+,+,-
The Goodbye Girl_0076095,-,+,+,+,-
The Squid and the Whale_0367089,-,+,-,-,-
The Lobster_3464902,-,+,-,-,-
Letters from Iwo Jima_0498380,-,+,-,-,-
The Queen_0436697,-,+,+,+,-
Saving Private Ryan_0120815,-,+,-,+,-
Rocky_0075148,-,+,+,+,-
Shakespeare in Love_0138097,-,+,+,+,-
Sleepless in Seattle_0108160,-,+,+,-,-
Straight Outta Compton_1398426,-,+,-,-,+
Syriana_0365737,-,+,-,-,-
Titanic_0120338,-,+,-,+,-
Up_1049413,-,+,+,-,-
The Wild Bunch_0065214,-,+,-,-,-
Witness_0090329,-,+,+,+,-
Zero Dark Thirty_1790885,-,+,+,+,+
You Can Count on Me_0203230,-,+,-,+,-
A Fish Called Wanda_0095159,-,+,+,-,-
Boyz n the Hood_0101507,-,+,-,-,-
In Bruges_0780536,-,+,+,-,-
A Hard Day s Night_0058182,-,+,-,-,-
Parasite_6751668,-,+,+,+,+
Patton_0066206,-,+,-,-,-
The Savages_0775529,-,+,-,-,-
Two for the Road_0062407,-,+,+,-,-
Unforgiven_0105695,-,+,+,+,-
WarGames_0086567,-,+,-,-,-
Another Year_1431181,-,+,-,-,-
Gosford Park_0280707,-,+,+,+,-
First Reformed_6053438,-,+,-,-,-
Marriage Story_7653254,-,+,+,+,+
Roma_6155172,-,+,+,+,+
Lars and the Real Girl_0805564,-,+,-,-,-
An Officer and a Gentleman_0084434,-,+,-,-,-
Almost Famous_0181875,-,+,+,+,-
The Apartment_0053604,-,+,-,-,-
Butch Cassidy and the Sundance Kid_0064115,-,+,+,+,-
Brazil_0088846,-,+,-,-,-
Dave_8531222,-,+,-,-,-
The Fisher King_0101889,-,+,+,-,-
Good Night and Good Luck_0433383,-,+,+,+,-
Hope and Glory_0093209,-,+,+,+,-
Little Miss Sunshine_0449059,-,+,+,-,-
Monster s Ball_0285742,-,+,-,-,-
Network_0074958,-,+,+,+,-
On the Waterfront_0047296,-,+,-,-,-
Shampoo_0073692,-,+,-,-,-
Sex Lies and Videotape_0098724,-,+,+,+,-
The Sixth Sense_0167404,-,+,+,+,-
Shine_0117631,-,+,+,+,-
Braveheart_0112573,-,+,-,+,-
The Crying Game_0104036,-,+,+,-,-
Hannah and Her Sisters_0091167,-,+,+,+,-
A Serious Man_1019452,-,+,+,-,-
American Hustle_1800241,-,+,+,+,+
American Graffiti_0069704,-,+,-,-,-
Amour_1602620,-,+,+,-,-
American Beauty_0169547,-,+,+,+,-
Annie Hall_0075686,-,+,+,+,-
As Good as It Gets_0119822,-,+,-,+,-
Arthur_1334512,-,+,-,-,-
Babel_0449467,-,+,+,+,-
Being John Malkovich_0120601,-,+,+,+,-
The Big Sick_5462602,-,+,-,-,+
Big_0094737,-,+,-,-,-
Bonnie and Clyde_0061418,-,+,-,+,-
Bridesmaids_1478338,-,+,+,-,-
Boyhood_1065073,-,+,+,+,+
Breaking Away_0078902,-,+,-,+,-
Bull Durham_0094812,-,+,-,-,-
Boogie Nights_0118749,-,+,+,-,-
Chinatown_0071315,-,+,-,+,-
Citizen Kane_0033467,-,+,-,-,-
Crash_0115964,-,+,+,+,-
Dallas Buyers Club_0790636,-,+,-,-,+
Diner_0083833,-,+,-,-,-
Dead Poets Society_0097165,-,+,+,+,-
The Deer Hunter_0077416,-,+,+,+,-
Do the Right Thing_0097216,-,+,-,+,-
Dog Day Afternoon_0072890,-,+,+,+,-
Django Unchained_1853728,-,+,+,+,-
Erin Brockovich_0195685,-,+,+,-,-
Eternal Sunshine of the Spotless Mind_0338013,-,+,+,+,-
Ex Machina_4601270,-,+,+,-,-
